medcodeid,observations,term,emiscodecategoryid,description_lower,bl_dm_type,bl_dm
13761000006115,122,Other specified diabetes mellitus with neurological comps,32,other specified diabetes mellitus with neurological comps,Unclear,1
13771000006110,92,Other specified diabetes mellitus with ophthalmic complicatn,32,other specified diabetes mellitus with ophthalmic complicatn,Unclear,1
13781000006113,11,Other specified diabetes mellitus with other spec comps,32,other specified diabetes mellitus with other spec comps,Unclear,1
13791000006111,30,Other specified diabetes mellitus with periph circ comps,32,other specified diabetes mellitus with periph circ comps,Unclear,1
13811000006110,30,Other specified diabetes mellitus with unspecified comps,32,other specified diabetes mellitus with unspecified comps,Unclear,1
16171000000110,132910,Diabetes monitoring admin.NOS,37,diabetes monitoring admin.nos,Unclear,1
21631000000117,1851449,Diabetes monitoring administration,37,diabetes monitoring administration,Unclear,1
25261000000111,28590,Diabetes clinic administration,37,diabetes clinic administration,Unclear,1
63021000000116,120877,Good compliance with diabetic diet,1,good compliance with diabetic diet,Unclear,1
63041000000111,35673,Poor compliance with diabetic diet,1,poor compliance with diabetic diet,Unclear,1
72651000006114,126,Unstable insulin dependent diabetes mellitus,27,unstable insulin dependent diabetes mellitus,Unclear,1
72711000006117,33,Unstable type 1 diabetes mellitus,32,unstable type 1 diabetes mellitus,Type 1 DM,1
72721000006113,16,Unstable type I diabetes mellitus,32,unstable type i diabetes mellitus,Type 1 DM,1
84281000006115,36136,Type 1 diabetes mellitus,32,type 1 diabetes mellitus,Type 1 DM,1
84291000006117,796,Type 1 diabetes mellitus - poor control,32,type 1 diabetes mellitus - poor control,Type 1 DM,1
84301000006116,34,Type 1 diabetes mellitus maturity onset,32,type 1 diabetes mellitus maturity onset,Type 1 DM,1
84311000006118,11,Type 1 diabetes mellitus with arthropathy,32,type 1 diabetes mellitus with arthropathy,Type 1 DM,1
84321000006114,14,Type 1 diabetes mellitus with diabetic cataract,32,type 1 diabetes mellitus with diabetic cataract,Type 1 DM,1
84331000006112,2,Type 1 diabetes mellitus with gangrene,32,type 1 diabetes mellitus with gangrene,Type 1 DM,1
84341000006119,27,Type 1 diabetes mellitus with hypoglycaemic coma,32,type 1 diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
84361000006115,11,Type 1 diabetes mellitus with multiple complications,32,type 1 diabetes mellitus with multiple complications,Type 1 DM,1
84371000006110,253,Type 1 diabetes mellitus with nephropathy,32,type 1 diabetes mellitus with nephropathy,Type 1 DM,1
84381000006113,21,Type 1 diabetes mellitus with neurological complications,32,type 1 diabetes mellitus with neurological complications,Type 1 DM,1
84391000006111,3,Type 1 diabetes mellitus with neuropathic arthropathy,32,type 1 diabetes mellitus with neuropathic arthropathy,Type 1 DM,1
84401000006113,84,Type 1 diabetes mellitus with ophthalmic complications,32,type 1 diabetes mellitus with ophthalmic complications,Type 1 DM,1
84421000006115,14,Type 1 diabetes mellitus with polyneuropathy,32,type 1 diabetes mellitus with polyneuropathy,Type 1 DM,1
84431000006117,51,Type 1 diabetes mellitus with renal complications,32,type 1 diabetes mellitus with renal complications,Type 1 DM,1
84441000006110,49,Type 1 diabetes mellitus with retinopathy,32,type 1 diabetes mellitus with retinopathy,Type 1 DM,1
84451000006112,30,Type 1 diabetes mellitus with ulcer,32,type 1 diabetes mellitus with ulcer,Type 1 DM,1
84461000006114,13,Type 1 diabetes mellitus without complication,32,type 1 diabetes mellitus without complication,Type 1 DM,1
84471000006119,272514,Type 2 diabetes mellitus,32,type 2 diabetes mellitus,Type 2 DM,1
84481000006116,1383,Type 2 diabetes mellitus - poor control,32,type 2 diabetes mellitus - poor control,Type 2 DM,1
84491000006118,13,Type 2 diabetes mellitus with arthropathy,32,type 2 diabetes mellitus with arthropathy,Type 2 DM,1
84501000006114,103,Type 2 diabetes mellitus with diabetic cataract,32,type 2 diabetes mellitus with diabetic cataract,Type 2 DM,1
84511000006112,18,Type 2 diabetes mellitus with gangrene,32,type 2 diabetes mellitus with gangrene,Type 2 DM,1
84521000006116,25,Type 2 diabetes mellitus with hypoglycaemic coma,32,type 2 diabetes mellitus with hypoglycaemic coma,Type 2 DM,1
84531000006118,18,Type 2 diabetes mellitus with mononeuropathy,32,type 2 diabetes mellitus with mononeuropathy,Type 2 DM,1
84541000006111,186,Type 2 diabetes mellitus with multiple complications,32,type 2 diabetes mellitus with multiple complications,Type 2 DM,1
84551000006113,810,Type 2 diabetes mellitus with nephropathy,32,type 2 diabetes mellitus with nephropathy,Type 2 DM,1
84561000006110,119,Type 2 diabetes mellitus with neurological complications,32,type 2 diabetes mellitus with neurological complications,Type 2 DM,1
84571000006115,20,Type 2 diabetes mellitus with neuropathic arthropathy,32,type 2 diabetes mellitus with neuropathic arthropathy,Type 2 DM,1
84581000006117,192,Type 2 diabetes mellitus with ophthalmic complications,32,type 2 diabetes mellitus with ophthalmic complications,Type 2 DM,1
84591000006119,8,Type 2 diabetes mellitus with peripheral angiopathy,32,type 2 diabetes mellitus with peripheral angiopathy,Type 2 DM,1
84601000006110,13,Type 2 diabetes mellitus with polyneuropathy,32,type 2 diabetes mellitus with polyneuropathy,Type 2 DM,1
84611000006113,208,Type 2 diabetes mellitus with renal complications,32,type 2 diabetes mellitus with renal complications,Type 2 DM,1
84621000006117,144,Type 2 diabetes mellitus with retinopathy,32,type 2 diabetes mellitus with retinopathy,Type 2 DM,1
84631000006119,91,Type 2 diabetes mellitus with ulcer,32,type 2 diabetes mellitus with ulcer,Type 2 DM,1
84641000006112,90,Type 2 diabetes mellitus without complication,32,type 2 diabetes mellitus without complication,Type 2 DM,1
84651000006114,21252,Type I diabetes mellitus,32,type i diabetes mellitus,Type 1 DM,1
84661000006111,2063,Type I diabetes mellitus poorly controlled,32,type i diabetes mellitus poorly controlled,Type 1 DM,1
84671000006116,239,Type I diabetes mellitus maturity onset,32,type i diabetes mellitus maturity onset,Type 1 DM,1
84681000006118,1,Type I diabetes mellitus with arthropathy,32,type i diabetes mellitus with arthropathy,Type 1 DM,1
84691000006115,18,Cataract due to diabetes mellitus type 1,32,cataract due to diabetes mellitus type 1,Type 1 DM,1
84701000006115,13,Type I diabetes mellitus with gangrene,32,type i diabetes mellitus with gangrene,Type 1 DM,1
84711000006117,68,Type I diabetes mellitus with hypoglycaemic coma,32,type i diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
84721000006113,4,Mononeuropathy with type 1 diabetes mellitus,32,mononeuropathy with type 1 diabetes mellitus,Type 1 DM,1
84731000006111,338,Multiple complications of type 1 diabetes mellitus,32,multiple complications of type 1 diabetes mellitus,Type 1 DM,1
84741000006118,365,Type I diabetes mellitus with nephropathy,32,type i diabetes mellitus with nephropathy,Type 1 DM,1
84751000006116,4,Type I diabetes mellitus with neurological complications,32,type i diabetes mellitus with neurological complications,Type 1 DM,1
84761000006119,123,Type I diabetes mellitus with neuropathic arthropathy,32,type i diabetes mellitus with neuropathic arthropathy,Type 1 DM,1
84771000006114,28,Disorder of eye with type 1 diabetes mellitus,32,disorder of eye with type 1 diabetes mellitus,Type 1 DM,1
84781000006112,2,Type I diabetes mellitus with peripheral angiopathy,32,type i diabetes mellitus with peripheral angiopathy,Type 1 DM,1
84791000006110,2,Polyneuropathy due to diabetes mellitus type I,32,polyneuropathy due to diabetes mellitus type i,Type 1 DM,1
84801000006111,54,Type I diabetes mellitus with renal complications,32,type i diabetes mellitus with renal complications,Type 1 DM,1
84811000006114,106,Type I diabetes mellitus with retinopathy,32,type i diabetes mellitus with retinopathy,Type 1 DM,1
84821000006118,20,Type I diabetes mellitus with ulcer,32,type i diabetes mellitus with ulcer,Type 1 DM,1
84831000006115,5,Type I diabetes mellitus without complication,32,type i diabetes mellitus without complication,Type 1 DM,1
84841000006113,56442,Type II diabetes mellitus,32,type ii diabetes mellitus,Type 2 DM,1
84851000006110,841,Type II diabetes mellitus - poor control,32,type ii diabetes mellitus - poor control,Type 2 DM,1
84861000006112,3,Type II diabetes mellitus with arthropathy,32,type ii diabetes mellitus with arthropathy,Type 2 DM,1
84871000006117,167,Cataract due to diabetes mellitus type 2,32,cataract due to diabetes mellitus type 2,Type 2 DM,1
84881000006119,8,Type II diabetes mellitus with gangrene,32,type ii diabetes mellitus with gangrene,Type 2 DM,1
84891000006116,5,Type II diabetes mellitus with hypoglycaemic coma,32,type ii diabetes mellitus with hypoglycaemic coma,Type 2 DM,1
84901000006117,28,Mononeuropathy with type 2 diabetes mellitus,32,mononeuropathy with type 2 diabetes mellitus,Type 2 DM,1
84911000006119,8,Type II diabetes mellitus with multiple complications,32,type ii diabetes mellitus with multiple complications,Type 2 DM,1
84921000006110,996,Renal disorder due to type 2 diabetes mellitus,32,renal disorder due to type 2 diabetes mellitus,Type 2 DM,1
84931000006113,36,Neurological disorder with diabetes type 2,32,neurological disorder with diabetes type 2,Type 2 DM,1
84941000006115,14,Type II diabetes mellitus with neuropathic arthropathy,32,type ii diabetes mellitus with neuropathic arthropathy,Type 2 DM,1
84951000006118,46,Disorder of eye with type 2 diabetes mellitus,32,disorder of eye with type 2 diabetes mellitus,Type 2 DM,1
84961000006116,18,Type II diabetes mellitus with peripheral angiopathy,32,type ii diabetes mellitus with peripheral angiopathy,Type 2 DM,1
84971000006111,23,Type II diabetes mellitus with polyneuropathy,32,type ii diabetes mellitus with polyneuropathy,Type 2 DM,1
84981000006114,76,Type II diabetes mellitus with renal complications,32,type ii diabetes mellitus with renal complications,Type 2 DM,1
84991000006112,179,Type II diabetes mellitus with retinopathy,32,type ii diabetes mellitus with retinopathy,Type 2 DM,1
85001000006117,61,Type II diabetes mellitus with ulcer,32,type ii diabetes mellitus with ulcer,Type 2 DM,1
85011000006119,81,Type II diabetes mellitus without complication,32,type ii diabetes mellitus without complication,Type 2 DM,1
127041000006110,17657,Steroid-induced diabetes,5,steroid-induced diabetes,Unclear,1
127051000006112,738,Steroid-induced diabetes mellitus without complication,32,steroid-induced diabetes mellitus without complication,Unclear,1
139001000000110,47671,Exception reporting - diabetes quality indicators,37,exception reporting - diabetes quality indicators,Unclear,1
139121000000119,603969,Excepted from diabetes quality indicators - informed dissent,37,excepted from diabetes quality indicators - informed dissent,Unclear,1
169731000006118,234410,Retinal abnormality - diabetes-related,32,retinal abnormality - diabetes-related,Unclear,1
189711000000119,5,Lipoatrophic diabetes mellitus without complication,32,lipoatrophic diabetes mellitus without complication,Unclear,1
189721000000113,23,Secondary diabetes mellitus without complication,32,secondary diabetes mellitus without complication,Unclear,1
189831000000116,8212,Informed consent for diabetes national audit,37,informed consent for diabetes national audit,Unclear,1
189841000000113,1036,Informed dissent for diabetes national audit,37,informed dissent for diabetes national audit,Unclear,1
193221000006111,52,Reaven's syndrome,32,reaven's syndrome,Unclear,1
198461000000116,3392,Diabetes mellitus associated with pancreatic disease,32,diabetes mellitus associated with pancreatic disease,Unclear,1
200111000006116,761187,Diabetes mellitus diet education,32,diabetes mellitus diet education,Unclear,1
213141000006111,282,"Pre-existing diabetes mellitus, unspecified",32,"pre-existing diabetes mellitus, unspecified",Unclear,1
214921000006116,9999,Polyneuropathy in diabetes,32,polyneuropathy in diabetes,Unclear,1
223291000000111,23929,Maturity onset diabetes,32,maturity onset diabetes,Unclear,1
280511000006113,56,Non-insulin dependent diabetes mellitus with hypoglyca coma,32,non-insulin dependent diabetes mellitus with hypoglyca coma,Type 2 DM,1
280521000006117,33,Non-insulin dependent diabetes mellitus with mononeuropathy,32,non-insulin dependent diabetes mellitus with mononeuropathy,Type 2 DM,1
280531000006119,194,Non-insulin dependent diabetes mellitus with nephropathy,32,non-insulin dependent diabetes mellitus with nephropathy,Type 2 DM,1
280541000006112,50,Non-insulin dependent diabetes mellitus with polyneuropathy,32,non-insulin dependent diabetes mellitus with polyneuropathy,Type 2 DM,1
280551000006114,323,Non-insulin-dependent diabetes mellitus with ulcer,32,non-insulin-dependent diabetes mellitus with ulcer,Unclear,1
280561000006111,84,Non-insulin-dependent diabetes mellitus with peripheral angiopathy,32,non-insulin-dependent diabetes mellitus with peripheral angiopathy,Unclear,1
280571000006116,788651,Non-insulin dependent diabetes mellitus,32,non-insulin dependent diabetes mellitus,Type 2 DM,1
280581000006118,281,Non-insulin-dependent diabetes mellitus with multiple complications,32,non-insulin-dependent diabetes mellitus with multiple complications,Unclear,1
280591000006115,568,Non-insulin-dependent diabetes mellitus with neuro comps,32,non-insulin-dependent diabetes mellitus with neuro comps,Unclear,1
281161000006114,124,Non-insulin depend diabetes mellitus with diabetic cataract,32,non-insulin depend diabetes mellitus with diabetic cataract,Type 2 DM,1
281171000006119,20493,Type II diabetes mellitus uncontrolled,32,type ii diabetes mellitus uncontrolled,Type 2 DM,1
281181000006116,18,Non-insulin dependent diabetes mellitus with neuropathic arthropathy,32,non-insulin dependent diabetes mellitus with neuropathic arthropathy,Type 2 DM,1
281211000006117,114,Gangrene associated with type 2 diabetes mellitus,32,gangrene associated with type 2 diabetes mellitus,Type 2 DM,1
298811000000118,11027,Insulin therapy declined,32,insulin therapy declined,Unclear,1
299191000000110,1053,Insulin needles changed daily,1,insulin needles changed daily,Unclear,1
299211000000114,6688,Insulin needles changed for each injection,1,insulin needles changed for each injection,Unclear,1
299261000000111,410907,Diabetic 6 month review,1,diabetic 6 month review,Unclear,1
299601000000114,7359,Gastroparesis with type 1 diabetes mellitus,32,gastroparesis with type 1 diabetes mellitus,Type 1 DM,1
299621000000117,4673,Gastroparesis with type 2 diabetes mellitus,32,gastroparesis with type 2 diabetes mellitus,Type 2 DM,1
299991000000112,20020,Referral to multidisciplinary diabetic clinic,40,referral to multidisciplinary diabetic clinic,Unclear,1
300021000000110,12409,Seen in multidisciplinary diabetic clinic,37,seen in multidisciplinary diabetic clinic,Unclear,1
301161000000113,445,Insulin needles changed less than once a day,1,insulin needles changed less than once a day,Unclear,1
301191000000119,629390,Did not attend diabetic retinopathy clinic,37,did not attend diabetic retinopathy clinic,Unclear,1
301611000000118,99,Diabetes monitoring lower risk albumin excretion,1,diabetes monitoring lower risk albumin excretion,Unclear,1
301641000000117,62,Diabetes monitoring higher risk albumin excretion,1,diabetes monitoring higher risk albumin excretion,Unclear,1
307661000000114,12527,Referral to diabetic register,40,referral to diabetic register,Unclear,1
308071000000112,5942,Patient consent given for addition to diabetic register,37,patient consent given for addition to diabetic register,Unclear,1
308811000000110,69685,Referral to diabetic eye clinic,40,referral to diabetic eye clinic,Unclear,1
377001000006117,543,[X]Diabetes mellitus,32,[x]diabetes mellitus,Unclear,1
396661000006115,5,Malnutrition-related diabetes mellitus with multiple complications,32,malnutrition-related diabetes mellitus with multiple complications,Unclear,1
396671000006110,1,[X]Malnutrit-related diabetes mellitus with unspec complics,32,[x]malnutrit-related diabetes mellitus with unspec complics,Unclear,1
405561000000113,102462,Diabetic digital retinopathy screening offered,1,diabetic digital retinopathy screening offered,Unclear,1
406351000000114,265525,Referral for diabetic retinopathy screening,40,referral for diabetic retinopathy screening,Unclear,1
479511000000117,16126,Diabetes type 1 review,1,diabetes type 1 review,Type 1 DM,1
479571000000110,265218,Diabetes type 2 review,1,diabetes type 2 review,Type 2 DM,1
479981000000119,73779,Referral to community diabetes specialist nurse,40,referral to community diabetes specialist nurse,Unclear,1
494831000000119,2131,Diabetes mellitus associated with cystic fibrosis,32,diabetes mellitus associated with cystic fibrosis,Unclear,1
532331000000119,92970,Diabetes structured education programme completed,37,diabetes structured education programme completed,Unclear,1
546001000000113,6353,Attended XPERT diabetes structured education programme,37,attended xpert diabetes structured education programme,Unclear,1
546071000000117,2417,Attended DAFNE diabetes structured education programme,37,attended dafne diabetes structured education programme,Unclear,1
546151000000110,2049,DAFNE diabetes structured education programme completed,37,dafne diabetes structured education programme completed,Unclear,1
546221000000114,16894,DESMOND diabetes structured education programme completed,37,desmond diabetes structured education programme completed,Unclear,1
546291000000112,9286,XPERT diabetes structured education programme completed,37,xpert diabetes structured education programme completed,Unclear,1
546471000000114,850273,Diabetes structured education programme declined,37,diabetes structured education programme declined,Unclear,1
546871000000112,13766,Referral to DAFNE diabetes structured education programme,40,referral to dafne diabetes structured education programme,Unclear,1
546961000000111,263061,Referral to DESMOND diabetes structured education programme,40,referral to desmond diabetes structured education programme,Unclear,1
547061000000110,101862,Referral to XPERT diabetes structured education programme,40,referral to xpert diabetes structured education programme,Unclear,1
547191000000117,31742,Did not attend diabetes structured education programme,37,did not attend diabetes structured education programme,Unclear,1
547331000000115,1810,Did not complete diabetes structured education programme,32,did not complete diabetes structured education programme,Unclear,1
547441000000118,85,Did not complete DAFNE diabetes structured education program,32,did not complete dafne diabetes structured education program,Unclear,1
548121000000116,644,Did not attend DAFNE diabetes structured education programme,37,did not attend dafne diabetes structured education programme,Unclear,1
548131000000119,6380,Did not attend XPERT diabetes structured education programme,37,did not attend xpert diabetes structured education programme,Unclear,1
587111000006111,656,Non-insulin-dependent diabetes mellitus with ophthalm comps,32,non-insulin-dependent diabetes mellitus with ophthalm comps,Unclear,1
587521000006111,802,Non-insulin-dependent diabetes mellitus with renal comps,32,non-insulin-dependent diabetes mellitus with renal comps,Unclear,1
607851000006113,409,Date diabetic treatment stopped,1,date diabetic treatment stopped,Unclear,1
616081000006113,26,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,32,diabetes mellitus insulin-glucose infusion in acute myocardial infarction,Unclear,1
616151000006118,45,Diabetes mellitus - unspec whether in pregnancy/puerperium,32,diabetes mellitus - unspec whether in pregnancy/puerperium,Unclear,1
616211000006113,369,Diabetes mellitus in pregnancy/childbirth/puerperium NOS,32,diabetes mellitus in pregnancy/childbirth/puerperium nos,Unclear,1
616221000006117,7,Diabetes mellitus in the puerperium - baby delivered during previous episode of care,32,diabetes mellitus in the puerperium - baby delivered during previous episode of care,Unclear,1
616231000006119,19,Diabetes mellitus in the puerperium - baby delivered during current episode of care,32,diabetes mellitus in the puerperium - baby delivered during current episode of care,Unclear,1
616241000006112,6762,Diabetes mellitus induced by steroids,5,diabetes mellitus induced by steroids,Unclear,1
616351000006115,424,Diabetes mellitus with gangrene,32,diabetes mellitus with gangrene,Unclear,1
616381000006111,784,Diabetes mellitus with ketoacidotic coma,32,diabetes mellitus with ketoacidotic coma,Unclear,1
616391000006114,45933,Nervous system disorder due to diabetes mellitus,32,nervous system disorder due to diabetes mellitus,Unclear,1
616421000006118,22819,Eye disorder due to diabetes mellitus,32,eye disorder due to diabetes mellitus,Unclear,1
616441000006113,5330,Peripheral vascular disorder due to diabetes mellitus,32,peripheral vascular disorder due to diabetes mellitus,Unclear,1
616451000006110,238,Diabetes mellitus with polyneuropathy,32,diabetes mellitus with polyneuropathy,Unclear,1
616461000006112,12438,Diabetes mellitus with renal manifestation,32,diabetes mellitus with renal manifestation,Unclear,1
616481000006119,1706,"Diabetes mellitus, adult onset, + neurological manifestation",32,"diabetes mellitus, adult onset, + neurological manifestation",Unclear,1
616491000006116,974,"Diabetes mellitus, adult onset, + ophthalmic manifestation",32,"diabetes mellitus, adult onset, + ophthalmic manifestation",Unclear,1
616501000006112,682,Disorder due to type 2 diabetes mellitus,32,disorder due to type 2 diabetes mellitus,Type 2 DM,1
616511000006110,86228,"Diabetes mellitus, adult onset, no mention of complication",32,"diabetes mellitus, adult onset, no mention of complication",Unclear,1
616531000006116,868,"Diabetes mellitus, adult onset, with ketoacidosis",32,"diabetes mellitus, adult onset, with ketoacidosis",Unclear,1
616541000006114,22,"Diabetes mellitus, adult onset, with ketoacidotic coma",32,"diabetes mellitus, adult onset, with ketoacidotic coma",Unclear,1
616551000006111,1114,"Diabetes mellitus, adult onset, with renal manifestation",32,"diabetes mellitus, adult onset, with renal manifestation",Unclear,1
616561000006113,260,"Diabetes mellitus, adult with gangrene",32,"diabetes mellitus, adult with gangrene",Unclear,1
616571000006118,1234,"Diabetes mellitus, adult, + other specified manifestation",32,"diabetes mellitus, adult, + other specified manifestation",Unclear,1
616581000006115,581,"Diabetes mellitus, adult, + peripheral circulatory disorder",32,"diabetes mellitus, adult, + peripheral circulatory disorder",Unclear,1
616591000006117,24,"Diabetes mellitus, juvenile +peripheral circulatory disorder",32,"diabetes mellitus, juvenile +peripheral circulatory disorder",Unclear,1
616601000006113,175,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",32,"diabetes mellitus, juvenile type, + ophthalmic manifestation",Unclear,1
616611000006111,96,Disorder due to type 1 diabetes mellitus,32,disorder due to type 1 diabetes mellitus,Type 1 DM,1
616621000006115,12505,Type 1 diabetes mellitus without complication,32,type 1 diabetes mellitus without complication,Type 1 DM,1
616641000006110,1408,"Diabetes mellitus, juvenile type, with ketoacidosis",32,"diabetes mellitus, juvenile type, with ketoacidosis",Unclear,1
616651000006112,45,"Diabetes mellitus, juvenile type, with ketoacidotic coma",32,"diabetes mellitus, juvenile type, with ketoacidotic coma",Unclear,1
616661000006114,100,"Diabetes mellitus, juvenile type, with renal manifestation",32,"diabetes mellitus, juvenile type, with renal manifestation",Unclear,1
616671000006119,134,"Diabetes mellitus, juvenile, + neurological manifestation",32,"diabetes mellitus, juvenile, + neurological manifestation",Unclear,1
616681000006116,121,"Diabetes mellitus, juvenile, + other specified manifestation",32,"diabetes mellitus, juvenile, + other specified manifestation",Unclear,1
616691000006118,970638,Diabetes monitoring check done,37,diabetes monitoring check done,Unclear,1
616701000006118,299089,Diabetes monitoring telephone invite,37,diabetes monitoring telephone invite,Unclear,1
616711000006115,181330,Diabetes monitoring verbal invite,37,diabetes monitoring verbal invite,Unclear,1
616731000006114,4907001,Diabetes monitoring first letter,37,diabetes monitoring first letter,Unclear,1
616741000006116,1323591,Diabetes monitoring second letter,37,diabetes monitoring second letter,Unclear,1
616751000006119,527511,Diabetes monitoring third letter,37,diabetes monitoring third letter,Unclear,1
616801000006114,13595,Diabetes resolved,27,diabetes resolved,Unclear,1
616821000006116,8467,Diabetes wellbeing questionnaire,3,diabetes wellbeing questionnaire,Unclear,1
616831000006118,532,Diabetes with gangrene,32,diabetes with gangrene,Unclear,1
616891000006119,195719,Diabetic - moderate control,1,diabetic - moderate control,Unclear,1
616921000006113,2031,Diabetic amyotrophy,32,diabetic amyotrophy,Unclear,1
616971000006114,12582,Diabetic Charcot's arthropathy,32,diabetic charcot's arthropathy,Unclear,1
617041000006117,2029,Diabetic Foot Risk Assessment,27,diabetic foot risk assessment,Unclear,1
620171000000113,7222,Referral to diabetes special interest general practitioner,40,referral to diabetes special interest general practitioner,Unclear,1
622221000000118,203,Maternally inherited diabetes mellitus,32,maternally inherited diabetes mellitus,Unclear,1
640011000006114,939,Emergency Diabetic Admission since last appointment,1,emergency diabetic admission since last appointment,Unclear,1
641581000006115,686,Non-insulin-dependent diabetes mellitus with retinopathy,32,non-insulin-dependent diabetes mellitus with retinopathy,Unclear,1
643691000000114,21178,Insulin initiation enhanced services administration,37,insulin initiation enhanced services administration,Unclear,1
646031000000112,29069,Insulin treatment initiated,1,insulin treatment initiated,Unclear,1
674961000006118,417,Peripheral circulatory disorder associated with type 2 diabetes mellitus,32,peripheral circulatory disorder associated with type 2 diabetes mellitus,Type 2 DM,1
692951000000111,719061,Diabetic foot screen,1,diabetic foot screen,Unclear,1
719471000006119,1,Malnutrit-related diabetes mellitus with unspec complics,32,malnutrit-related diabetes mellitus with unspec complics,Unclear,1
719481000006116,1,Malnutrit-related diabetes mellitus wth ophthalmic complicat,32,malnutrit-related diabetes mellitus wth ophthalmic complicat,Unclear,1
719531000006118,234,Malnutrition related diabetes mellitus,32,malnutrition related diabetes mellitus,Unclear,1
719541000006111,4,Malnutrition-related diabetes mellitus with coma,32,malnutrition-related diabetes mellitus with coma,Unclear,1
719561000006110,3,Malnutrition-related diabetes mellitus with multiple comps,32,malnutrition-related diabetes mellitus with multiple comps,Unclear,1
719571000006115,4,Malnutrition-related diabetes mellitus with renal complications,32,malnutrition-related diabetes mellitus with renal complications,Unclear,1
719591000006119,1,Malnutrition-related diabetes mellitus wth neuro complicatns,32,malnutrition-related diabetes mellitus wth neuro complicatns,Unclear,1
719601000006110,5,Malnutrition-related diabetes mellitus with peripheral circulatory complications,32,malnutrition-related diabetes mellitus with peripheral circulatory complications,Unclear,1
720311000006119,1,Malnutrit-relat diabetes mellitus with other spec comps,32,malnutrit-relat diabetes mellitus with other spec comps,Unclear,1
730411000000115,5445,Eligible for diabetic retinopathy screening,37,eligible for diabetic retinopathy screening,Unclear,1
730471000000113,2646,Ineligible for diabetic retinopathy screening,37,ineligible for diabetic retinopathy screening,Unclear,1
733161000000116,114,Impaired vision due to diabetic retinopathy,27,impaired vision due to diabetic retinopathy,Unclear,1
736731000000118,1247,Excluded from diabetic retinopathy screening as moved away,37,excluded from diabetic retinopathy screening as moved away,Unclear,1
736791000000117,4169,Excluded from diabetic retinopathy screening as deceased,37,excluded from diabetic retinopathy screening as deceased,Unclear,1
736911000000111,207,Excluded from diabetic retinopathy screening as blind,37,excluded from diabetic retinopathy screening as blind,Unclear,1
737031000000119,145722,Diabetic retinopathy screening declined,37,diabetic retinopathy screening declined,Unclear,1
737331000000117,9485,Excluded from diabetic retinopathy screening,37,excluded from diabetic retinopathy screening,Unclear,1
746791000006111,491,Insulin-dependent diabetes without complication,32,insulin-dependent diabetes without complication,Unclear,1
764191000006112,8726,Foot abnormality - diabetes related,32,foot abnormality - diabetes related,Unclear,1
764201000006110,5177,Foot abnormality - diabetes related,32,foot abnormality - diabetes related,Unclear,1
771331000006116,75,Insulin dependent diabetes mellitus with arthropathy,32,insulin dependent diabetes mellitus with arthropathy,Type 1 DM,1
771341000006114,34,Insulin dependent diabetes mellitus with diabetic cataract,32,insulin dependent diabetes mellitus with diabetic cataract,Type 1 DM,1
771351000006111,24,Insulin dependent diabetes mellitus with gangrene,32,insulin dependent diabetes mellitus with gangrene,Type 1 DM,1
771361000006113,244,Insulin dependent diabetes mellitus with hypoglycaemic coma,32,insulin dependent diabetes mellitus with hypoglycaemic coma,Type 1 DM,1
771371000006118,10,Insulin dependent diabetes mellitus with mononeuropathy,32,insulin dependent diabetes mellitus with mononeuropathy,Type 1 DM,1
771381000006115,182,Insulin dependent diabetes mellitus with multiple complicatn,32,insulin dependent diabetes mellitus with multiple complicatn,Type 1 DM,1
771391000006117,119,Insulin dependent diabetes mellitus with nephropathy,32,insulin dependent diabetes mellitus with nephropathy,Type 1 DM,1
771401000006115,21,Insulin dependent diabetes mellitus with polyneuropathy,32,insulin dependent diabetes mellitus with polyneuropathy,Type 1 DM,1
771411000006117,354,Insulin dependent diabetes mellitus with retinopathy,32,insulin dependent diabetes mellitus with retinopathy,Type 1 DM,1
771421000006113,73,Insulin dependent diabetes mellitus with ulcer,32,insulin dependent diabetes mellitus with ulcer,Type 1 DM,1
771481000006112,62,Insulin-dependent diabetes mellitus with neurological comps,32,insulin-dependent diabetes mellitus with neurological comps,Unclear,1
771491000006110,180,Insulin-dependent diabetes mellitus with ophthalmic comps,32,insulin-dependent diabetes mellitus with ophthalmic comps,Unclear,1
771501000006119,91,Insulin-dependent diabetes mellitus with renal complications,32,insulin-dependent diabetes mellitus with renal complications,Unclear,1
772131000006111,26,Insulin dependent diab mell with neuropathic arthropathy,32,insulin dependent diab mell with neuropathic arthropathy,Type 1 DM,1
772141000006118,6,Insulin dependent diab mell with peripheral angiopathy,32,insulin dependent diab mell with peripheral angiopathy,Type 1 DM,1
772151000006116,753,Insulin dependent diabetes maturity onset,32,insulin dependent diabetes maturity onset,Type 1 DM,1
772161000006119,88360,Insulin dependent diabetes mellitus,32,insulin dependent diabetes mellitus,Type 1 DM,1
772171000006114,121962,Insulin dependent diabetes mellitus,32,insulin dependent diabetes mellitus,Type 1 DM,1
772181000006112,850,Insulin dependent diabetes mellitus - poor control,27,insulin dependent diabetes mellitus - poor control,Type 1 DM,1
777231000006119,109158,Diabetic monitoring - injection sites,1,diabetic monitoring - injection sites,Unclear,1
