prodcodeid,formulation,routeofadministration,substancestrength,drugissues,productname,termfromemis,drugsubstancename,drug_acei
6012541000033117,Oral suspension,Oral,250.000microgram/1.000ml,244,enalapril 1.25mg/5ml oral suspension,enalapril 1.25mg/5ml oral suspension,enalapril maleate,1
6044541000033115,Oral suspension,Oral,4.000mg/1.000ml,599,lisinopril 20mg/5ml oral suspension,lisinopril 20mg/5ml oral suspension,lisinopril,1
6044641000033119,Oral solution,Oral,4.000mg/1.000ml,501,lisinopril 20mg/5ml oral solution,lisinopril 20mg/5ml oral solution,lisinopril,1
609141000033111,Tablet/ Oral Tablet,Oral,10.000mg,447878,fosinopril 10mg tablets,fosinopril 10mg tablets,fosinopril sodium,1
609241000033116,Tablet/ Oral Tablet,Oral,20.000mg,513929,fosinopril 20mg tablets,fosinopril 20mg tablets,fosinopril sodium,1
648341000033112,Capsule/ Oral capsule,Oral,1.000mg,21044,gopten 1mg capsules,gopten 1mg capsules (abbott laboratories ltd),trandolapril,1
648441000033118,Capsule/ Oral capsule,Oral,2.000mg,36493,gopten 2mg capsules,gopten 2mg capsules (abbott laboratories ltd),trandolapril,1
648541000033117,Capsule/ Oral capsule,Oral,500.000microgram,7709,gopten 500microgram capsules,gopten 500microgram capsules (abbott laboratories ltd),trandolapril,1
6517041000033110,Oral solution,Oral,500.000microgram/1.000ml,22524,ramipril 2.5mg/5ml oral solution sugar free,ramipril 2.5mg/5ml oral solution sugar free,ramipril,1
769041000033116,Tablet/ Oral Tablet,Oral,10.000mg,247548,innovace 10mg tablets,innovace 10mg tablets (organon pharma (uk) ltd),enalapril maleate,1
769141000033117,Tablet/ Oral Tablet,Oral,2.500mg,65393,innovace 2.5mg tablets,innovace 2.5mg tablets (organon pharma (uk) ltd),enalapril maleate,1
769241000033112,Tablet/ Oral Tablet,Oral,20.000mg,199459,innovace 20mg tablets,innovace 20mg tablets (organon pharma (uk) ltd),enalapril maleate,1
769341000033119,Tablet/ Oral Tablet,Oral,5.000mg,223933,innovace 5mg tablets,innovace 5mg tablets (organon pharma (uk) ltd),enalapril maleate,1
770141000033115,Tablet/ Oral Tablet,Oral,20.000mg + 12.500mg,122933,innozide 20mg/12.5mg tablets,innozide 20mg/12.5mg tablets (organon pharma (uk) ltd),enalapril maleate/ hydrochlorothiazide,1
8263341000033116,Tablet/ Oral Tablet,Oral,2.500mg,80,perindopril tosilate 2.5mg tablets,perindopril tosilate 2.5mg tablets,perindopril tosilate,1
8263441000033110,Tablet/ Oral Tablet,Oral,5.000mg,425,perindopril tosilate 5mg tablets,perindopril tosilate 5mg tablets,perindopril tosilate,1
8263541000033111,Tablet/ Oral Tablet,Oral,10.000mg,1249,perindopril tosilate 10mg tablets,perindopril tosilate 10mg tablets,perindopril tosilate,1
8263641000033112,Tablet/ Oral Tablet,Oral,1.250mg + 5.000mg,1291,perindopril tosilate 5mg / indapamide 1.25mg tablets,perindopril tosilate 5mg / indapamide 1.25mg tablets,indapamide/ perindopril tosilate,1
8264941000033119,Modified-release tablet,Oral,2.500mg + 2.500mg,412,triapin 2.5mg/2.5mg modified-release tablets,triapin 2.5mg/2.5mg modified-release tablets (sanofi),felodipine/ ramipril,1
8275941000033110,Oral solution,Oral,1.600mg/1.000ml,154,perindopril erbumine 8mg/5ml oral solution,perindopril erbumine 8mg/5ml oral solution,perindopril erbumine,1
8276041000033117,Oral suspension,Oral,800.000microgram/1.000ml,927,perindopril erbumine 4mg/5ml oral suspension,perindopril erbumine 4mg/5ml oral suspension,perindopril erbumine,1
8276141000033118,Oral suspension,Oral,1.600mg/1.000ml,122,perindopril erbumine 8mg/5ml oral suspension,perindopril erbumine 8mg/5ml oral suspension,perindopril erbumine,1
837841000033110,Tablet/ Oral Tablet,Oral,10.000mg,19928367,lisinopril 10mg tablets,lisinopril 10mg tablets,lisinopril,1
837941000033119,Tablet/ Oral Tablet,Oral,2.500mg,7564320,lisinopril 2.5mg tablets,lisinopril 2.5mg tablets,lisinopril,1
838041000033116,Tablet/ Oral Tablet,Oral,20.000mg,22232079,lisinopril 20mg tablets,lisinopril 20mg tablets,lisinopril,1
838141000033117,Tablet/ Oral Tablet,Oral,5.000mg,15721258,lisinopril 5mg tablets,lisinopril 5mg tablets,lisinopril,1
8869441000033119,Oral solution,Oral,800.000microgram/1.000ml,728,perindopril erbumine 4mg/5ml oral solution,perindopril erbumine 4mg/5ml oral solution,perindopril erbumine,1
8961241000033112,Oral solution,Oral,1.000mg/1.000ml,233,noyada 5mg/5ml oral solution,noyada 5mg/5ml oral solution (martindale pharmaceuticals ltd),captopril,1
8961341000033119,Oral solution,Oral,5.000mg/1.000ml,346,noyada 25mg/5ml oral solution,noyada 25mg/5ml oral solution (martindale pharmaceuticals ltd),captopril,1
9105241000033114,Tablet/ Oral Tablet,Oral,5.000mg + 4.000mg,1450,perindopril erbumine 4mg / amlodipine 5mg tablets,perindopril erbumine 4mg / amlodipine 5mg tablets,amlodipine besilate/ perindopril erbumine,1
9105341000033116,Tablet/ Oral Tablet,Oral,10.000mg + 4.000mg,817,perindopril erbumine 4mg / amlodipine 10mg tablets,perindopril erbumine 4mg / amlodipine 10mg tablets,amlodipine besilate/ perindopril erbumine,1
9105441000033110,Tablet/ Oral Tablet,Oral,5.000mg + 8.000mg,1945,perindopril erbumine 8mg / amlodipine 5mg tablets,perindopril erbumine 8mg / amlodipine 5mg tablets,amlodipine besilate/ perindopril erbumine,1
9105541000033111,Tablet/ Oral Tablet,Oral,10.000mg + 8.000mg,1147,perindopril erbumine 8mg / amlodipine 10mg tablets,perindopril erbumine 8mg / amlodipine 10mg tablets,amlodipine besilate/ perindopril erbumine,1
9108041000033111,Oral solution,Oral,5.000mg/1.000ml,12092,captopril 25mg/5ml oral solution sugar free,captopril 25mg/5ml oral solution sugar free,captopril,1
9108141000033110,Oral solution,Oral,1.000mg/1.000ml,11055,captopril 5mg/5ml oral solution sugar free,captopril 5mg/5ml oral solution sugar free,captopril,1
938041000033113,Tablet/ Oral Tablet,Oral,15.000mg,2792,moexipril 15mg tablets,moexipril 15mg tablets,moexipril hydrochloride,1
938141000033112,Tablet/ Oral Tablet,Oral,7.500mg,2750,moexipril 7.5mg tablets,moexipril 7.5mg tablets,moexipril hydrochloride,1
998541000033110,Capsule/ Oral capsule,Oral,1.000mg,25,odrik 1mg capsules,odrik 1mg capsules (aventis pharma),trandolapril,1
998641000033111,Capsule/ Oral capsule,Oral,2.000mg,99,odrik 2mg capsules,odrik 2mg capsules (aventis pharma),trandolapril,1
998741000033119,Capsule/ Oral capsule,Oral,500.000microgram,7,odrik 500microgram capsules,odrik 500microgram capsules (aventis pharma),trandolapril,1
